trt,stage,mean,sd,range,n
control,flrs,21.689655172413794,10.145736079315931,7-48,29
control,dev_frts,3.0344827586206895,3.499824063136089,0-12,29
control,frts_collected,4.066666666666666,3.1728010758108782,1-12,15
control,sds_collected,7.466666666666667,6.32304929452178,1-26,15
control,sds_per_frt,1.7952380952380953,0.45450628567580986,1-2.5,15
fert,flrs,19.266666666666666,7.547245824817812,6-42,30
fert,dev_frts,3.6333333333333333,3.6528999659064767,0-12,30
fert,frts_collected,4.2,3.318211312708923,1-11,20
fert,sds_collected,8.35,8.125819796698734,1-30,20
fert,sds_per_frt,1.7752002164502165,0.5691011162299554,1-3,20
fert_pollen,flrs,21.115384615384617,7.361124496036855,8-43,26
fert_pollen,dev_frts,2.3076923076923075,2.908872369413698,0-12,26
fert_pollen,frts_collected,2.7142857142857144,2.198900824313101,1-9,14
fert_pollen,sds_collected,5.5,4.292211192739346,1-15,14
fert_pollen,sds_per_frt,2.0595238095238093,0.6153559975030743,1-3,14
pollen,flrs,20.48148148148148,9.300001531721836,0-42,27
pollen,dev_frts,3.037037037037037,3.2638047816040796,0-12,27
pollen,frts_collected,3.3076923076923075,2.323238235187235,1-8,13
pollen,sds_collected,5.133333333333334,4.050867044167681,1-12,15
pollen,sds_per_frt,1.6549450549450548,0.5746523329777166,0.5-2.66666666666667,13
